date,nonfarm_payrolls_k,nonfarm_payrolls_change_k,unemployment_rate_pct
2017-03-01,145970,124.0,4.4
2017-04-01,146175,205.0,4.4
2017-05-01,146380,205.0,4.4
2017-06-01,146583,203.0,4.3
2017-07-01,146772,189.0,4.3
2017-08-01,146919,147.0,4.4
2017-09-01,147008,89.0,4.3
2017-10-01,147149,141.0,4.2
2017-11-01,147372,223.0,4.2
2017-12-01,147523,151.0,4.1
2018-01-01,147660,137.0,4.0
2018-02-01,148054,394.0,4.1
2018-03-01,148280,226.0,4.0
2018-04-01,148420,140.0,4.0
2018-05-01,148742,322.0,3.8
2018-06-01,148960,218.0,4.0
2018-07-01,149020,60.0,3.8
2018-08-01,149277,257.0,3.8
2018-09-01,149358,81.0,3.7
2018-10-01,149527,169.0,3.8
2018-11-01,149617,90.0,3.8
2018-12-01,149809,192.0,3.9
2019-01-01,150060,251.0,4.0
2019-02-01,150067,7.0,3.8
2019-03-01,150295,228.0,3.8
2019-04-01,150591,296.0,3.7
2019-05-01,150618,27.0,3.6
2019-06-01,150838,220.0,3.6
2019-07-01,150937,99.0,3.7
2019-08-01,151169,232.0,3.6
2019-09-01,151365,196.0,3.5
2019-10-01,151460,95.0,3.6
2019-11-01,151667,207.0,3.6
2019-12-01,151794,127.0,3.6
2020-01-01,152031,237.0,3.6
2020-02-01,152293,262.0,3.5
2020-03-01,150895,-1398.0,4.4
2020-04-01,130426,-20469.0,14.8
2020-05-01,133040,2614.0,13.2
2020-06-01,137671,4631.0,11.0
2020-07-01,139255,1584.0,10.2
2020-08-01,140821,1566.0,8.4
2020-09-01,141770,949.0,7.8
2020-10-01,142460,690.0,6.9
2020-11-01,142733,273.0,6.7
2020-12-01,142548,-185.0,6.7
2021-01-01,142863,315.0,6.4
2021-02-01,143380,517.0,6.2
2021-03-01,144232,852.0,6.1
2021-04-01,144587,355.0,6.1
2021-05-01,145065,478.0,5.8
2021-06-01,145820,755.0,5.9
2021-07-01,146762,942.0,5.4
2021-08-01,147314,552.0,5.1
2021-09-01,147771,457.0,4.7
2021-10-01,148572,801.0,4.5
2021-11-01,149230,658.0,4.1
2021-12-01,149816,586.0,3.9
2022-01-01,150006,190.0,4.0
2022-02-01,150825,819.0,3.9
2022-03-01,151315,490.0,3.7
2022-04-01,151623,308.0,3.7
2022-05-01,151924,301.0,3.6
2022-06-01,152358,434.0,3.6
2022-07-01,153072,714.0,3.5
2022-08-01,153362,290.0,3.6
2022-09-01,153582,220.0,3.5
2022-10-01,153939,357.0,3.6
2022-11-01,154242,303.0,3.6
2022-12-01,154342,100.0,3.5
2023-01-01,154776,434.0,3.5
2023-02-01,155066,290.0,3.6
2023-03-01,155134,68.0,3.5
2023-04-01,155375,241.0,3.4
2023-05-01,155655,280.0,3.6
2023-06-01,155880,225.0,3.6
2023-07-01,156043,163.0,3.5
2023-08-01,156261,218.0,3.7
2023-09-01,156417,156.0,3.7
2023-10-01,156576,159.0,3.9
2023-11-01,156703,127.0,3.7
2023-12-01,156857,154.0,3.8
2024-01-01,157032,175.0,3.7
2024-02-01,157238,206.0,3.9
2024-03-01,157466,228.0,3.9
2024-04-01,157530,64.0,3.9
2024-05-01,157608,78.0,3.9
2024-06-01,157695,87.0,4.1
2024-07-01,157748,53.0,4.2
2024-08-01,157757,9.0,4.2
2024-09-01,157912,155.0,4.1
2024-10-01,157945,33.0,4.1
2024-11-01,158079,134.0,4.2
2024-12-01,158316,237.0,4.1
2025-01-01,158268,-48.0,4.0
2025-02-01,158310,42.0,4.2
2025-03-01,158377,67.0,4.2
2025-04-01,158485,108.0,4.2
2025-05-01,158498,13.0,4.3
2025-06-01,158478,-20.0,4.1
2025-07-01,158542,64.0,4.3
2025-08-01,158472,-70.0,4.3
2025-09-01,158548,76.0,4.4
2025-11-01,158449,-99.0,4.5
2025-12-01,158432,-17.0,4.4
2026-01-01,158592,160.0,4.3
2026-02-01,158436,-156.0,4.4
2026-03-01,158650,214.0,4.3
2026-04-01,158829,179.0,4.3
2026-05-01,159001,172.0,4.3
