date,building_permits_k,housing_starts_k,months_supply_new
1975-09-01,1064,1264,7.3
1975-10-01,1096,1344,6.6
1975-11-01,1110,1360,5.8
1975-12-01,1091,1321,5.8
1976-01-01,1195,1367,6.4
1976-02-01,1190,1538,5.9
1976-03-01,1164,1421,6.8
1976-04-01,1132,1395,6.4
1976-05-01,1194,1459,7
1976-06-01,1188,1495,6.9
1976-07-01,1245,1401,6.4
1976-08-01,1309,1550,6.2
1976-09-01,1481,1720,6.2
1976-10-01,1425,1629,5.8
1976-11-01,1531,1641,6
1976-12-01,1511,1804,5.6
1977-01-01,1466,1527,5.3
1977-02-01,1560,1943,5.1
1977-03-01,1660,2063,5
1977-04-01,1660,1892,5.5
1977-05-01,1668,1971,5.4
1977-06-01,1752,1893,5.5
1977-07-01,1687,2058,6.1
1977-08-01,1780,2020,5.8
1977-09-01,1674,1949,5.9
1977-10-01,1758,2042,6.1
1977-11-01,1771,2042,6
1977-12-01,1754,2142,6
1978-01-01,1740,1718,5.9
1978-02-01,1736,1738,6.3
1978-03-01,1799,2032,6.1
1978-04-01,1948,2197,5.8
1978-05-01,1766,2075,5.9
1978-06-01,1983,2070,6.2
1978-07-01,1786,2092,6.6
1978-08-01,1691,1996,6.6
1978-09-01,1751,1970,5.9
1978-10-01,1781,1981,5.7
1978-11-01,1795,2094,6.5
1978-12-01,1818,2044,6.1
1979-01-01,1461,1630,6.6
1979-02-01,1492,1520,6.8
1979-03-01,1720,1847,6.6
1979-04-01,1597,1748,6.8
1979-05-01,1684,1876,7.1
1979-06-01,1640,1913,7.4
1979-07-01,1534,1760,7.1
1979-08-01,1591,1778,6.9
1979-09-01,1638,1832,7.4
1979-10-01,1481,1681,7.4
1979-11-01,1276,1524,8.3
1979-12-01,1254,1498,8.6
1980-01-01,1280,1341,7.9
1980-02-01,1199,1350,8.6
1980-03-01,988,1047,9.8
1980-04-01,808,1051,11.6
1980-05-01,861,927,9.2
1980-06-01,1118,1196,7.6
1980-07-01,1259,1269,6.5
1980-08-01,1367,1436,6
1980-09-01,1484,1471,7.3
1980-10-01,1366,1523,7.3
1980-11-01,1383,1510,7.4
1980-12-01,1249,1482,7.6
1981-01-01,1221,1547,8
1981-02-01,1199,1246,8.1
1981-03-01,1183,1306,7.7
1981-04-01,1190,1360,8.6
1981-05-01,1173,1140,8.4
1981-06-01,976,1045,9.2
1981-07-01,935,1041,9
1981-08-01,889,940,9.8
1981-09-01,847,911,11.3
1981-10-01,731,873,10.3
1981-11-01,748,837,9.1
1981-12-01,796,910,7.1
1982-01-01,794,843,8.9
1982-02-01,808,866,9.2
1982-03-01,891,931,8.7
1982-04-01,888,917,9.4
1982-05-01,953,1025,8.3
1982-06-01,913,902,8.3
1982-07-01,1044,1166,8.2
1982-08-01,926,1046,7.1
1982-09-01,1042,1144,6.7
1982-10-01,1149,1173,6.2
1982-11-01,1229,1372,5.4
1982-12-01,1351,1303,5.8
1983-01-01,1426,1586,5.4
1983-02-01,1471,1699,5.6
1983-03-01,1475,1606,5.4
1983-04-01,1566,1472,5.1
1983-05-01,1669,1776,4.9
1983-06-01,1769,1733,5.3
1983-07-01,1795,1785,5.8
1983-08-01,1713,1910,6.2
1983-09-01,1585,1710,6.2
1983-10-01,1716,1715,5.6
1983-11-01,1668,1785,5.8
1983-12-01,1627,1688,4.7
1984-01-01,1816,1897,5.3
1984-02-01,1987,2260,5.1
1984-03-01,1725,1663,6.1
1984-04-01,1776,1851,6
1984-05-01,1741,1774,6.7
1984-06-01,1814,1843,6.6
1984-07-01,1605,1732,6.7
1984-08-01,1530,1586,7.5
1984-09-01,1523,1698,6.5
1984-10-01,1490,1590,6
1984-11-01,1643,1689,7.2
1984-12-01,1626,1612,7.3
1985-01-01,1660,1711,6.7
1985-02-01,1662,1632,6.5
1985-03-01,1727,1800,6.4
1985-04-01,1664,1821,6.9
1985-05-01,1709,1680,6.4
1985-06-01,1716,1676,6
1985-07-01,1697,1684,5.6
1985-08-01,1808,1743,5.8
1985-09-01,1916,1676,6.3
1985-10-01,1743,1834,6.4
1985-11-01,1692,1698,5.9
1985-12-01,1794,1942,5.8
1986-01-01,1847,1972,5.7
1986-02-01,1767,1848,6
1986-03-01,1780,1876,4.7
1986-04-01,1858,1933,4.7
1986-05-01,1797,1854,5.2
1986-06-01,1790,1847,5.7
1986-07-01,1780,1782,6.1
1986-08-01,1726,1807,7
1986-09-01,1686,1687,5.8
1986-10-01,1675,1681,6.5
1986-11-01,1644,1623,6.1
1986-12-01,1903,1833,5.5
1987-01-01,1690,1774,6
1987-02-01,1689,1784,6.2
