date,total_pc,index_pc,etp_pc,equity_pc,call_volume,put_volume
2020-02-25,1.31,1.3,1.99,0.8,4059385.0,5311204.0
2020-02-26,1.23,1.49,1.75,0.65,3307484.0,4058825.0
2020-02-27,1.31,1.59,1.48,0.86,4082621.0,5332358.0
2020-02-28,1.27,1.51,1.33,0.85,4421620.0,5630270.0
2020-03-02,1.29,1.7,1.32,0.76,3041390.0,3911421.0
2020-03-03,0.8,0.71,1.12,0.73,3776836.0,3018461.0
2020-03-04,1.25,1.17,2.6,0.64,2899504.0,3638704.0
2020-03-05,0.88,0.83,1.1,0.78,3608907.0,3159294.0
2020-03-06,1.18,1.4,1.1,0.89,4373771.0,5158320.0
2020-03-09,1.83,2.3,1.79,1.12,2977650.0,5446851.0
2020-03-10,1.19,1.6,1.05,0.75,3088424.0,3670541.0
2020-03-11,1.36,1.59,1.23,1.02,3133495.0,4253234.0
2020-03-12,1.46,1.41,1.79,1.28,3781589.0,5506916.0
2020-03-13,1.27,1.36,1.4,1.0,4086565.0,5209749.0
2020-03-16,1.28,1.25,1.53,1.1,2933865.0,3751361.0
2020-03-17,1.01,0.99,1.35,0.86,3332360.0,3381433.0
2020-03-18,1.33,1.58,1.3,0.98,3087377.0,4120286.0
2020-03-19,1.12,1.33,1.08,0.88,2729926.0,3045043.0
2020-03-20,1.23,1.47,1.42,0.83,2820379.0,3460418.0
