date,open_interest,lev_money_net,lev_money_cot_index,asset_mgr_net,asset_mgr_cot_index,dealer_net,dealer_cot_index
2008-06-24,1945640,-403293,21.090350784103627,708793,72.06176783812566,-372194,40.44480012990251
2008-07-01,2128123,-372926,26.28809689268341,707804,71.92133475328365,-463694,29.83222858203286
2008-07-08,2305626,-393621,22.74585183334075,680000,67.97330493432729,-519895,23.313789963870864
2008-07-15,2551139,-299931,38.782234515622164,640953,62.42882499112531,-635219,9.93800634434605
2008-07-22,2435264,-432816,16.037067339456453,634571,61.5226127085552,-492088,26.538967854926724
2008-07-29,2488058,-390654,23.253696292923724,642660,62.67121050763224,-535278,21.529602115555246
2008-08-05,2492891,-356846,29.04041873632825,660872,65.2572239971601,-567426,17.800935994015205
2008-08-12,2464192,-345652,30.956431840666582,675256,67.29968051118212,-601647,13.831834235111954
2008-08-19,2480117,-374547,26.01063957250006,716727,73.18835640752573,-595183,14.581557322384405
2008-08-26,2444920,-353065,29.68759093103106,719722,73.6136315228967,-582318,16.07369648045373
2008-09-02,2459817,-337391,32.37042007140975,686257,68.86176783812566,-567609,17.779710850919468
2008-09-09,2584380,-296665,39.34125709903908,675278,67.30280440184593,-610881,12.760834391690878
2008-09-16,3205598,-83683,75.79617071242002,590482,55.26219382321619,-690697,3.5034244390705007
2008-09-23,2266433,-226576,51.337991284314164,637039,61.873056443024495,-518651,23.45807454316649
2008-09-30,2565210,-180931,59.15078547294406,642047,62.584167554135604,-661877,6.84609451567819
2008-10-07,2894010,-59814,79.88169124015377,518965,45.10713525026624,-861306,0.0
2008-10-14,3189495,-98840,73.20183351191474,609786,58.003265885694,-908055,0.0
2008-10-21,3023160,-60657,79.73739974051493,616889,59.01185658501953,-949517,0.0
2008-10-28,3062115,6127,91.16843593491649,586018,54.6283280085197,-923427,2.391824708310147
2008-11-04,2896273,55981,99.70166063597804,712319,72.56244231451899,-989884,0.0
2008-11-11,3042768,1965,90.4560501442915,674607,67.20752573659922,-906763,7.348258345813082
2008-11-18,3199331,78487,100.0,716309,73.12900248491303,-972801,1.5102115869819284
2008-11-25,3253752,172560,100.0,754829,78.59865104721335,-1026293,0.0
2008-12-02,3227862,176969,100.0,778982,82.02825701100461,-1042048,0.0
2008-12-09,3147959,243400,100.0,718446,73.43244586439475,-988263,4.545224071053721
2008-12-16,3814544,309302,100.0,863479,94.02641107561234,-1105451,0.0
2008-12-22,2276969,181862,84.75255200930353,815816,87.25850195243167,-1077073,2.276189047695056
2008-12-30,2307779,168418,83.1440563188851,814319,87.04593539226127,-1111390,0.0
2009-01-06,2411321,60464,70.22799385507746,968746,100.0,-1138480,0.0
2009-01-13,2438899,130064,78.55522533775539,844248,83.77766311202843,-999430,10.865301517000818
2009-01-20,2565182,141855,79.96594928046021,759096,72.68218823946378,-846602,22.80720946550999
2009-01-27,2620436,195768,86.41632328801214,834240,82.47360081725407,-960568,13.901959895668101
2009-02-03,2681609,225376,89.95874670380421,803477,78.46512076388238,-895557,18.98188881995246
2009-02-10,2746341,80451,72.6193210913459,803810,78.50851132584879,-749841,30.36806843772514
2009-02-17,3047503,143384,80.14888515599202,741544,70.39512774806892,-647012,38.40307807232907
2009-02-24,3099079,159915,82.12672227725852,746120,70.99138964464042,-682518,35.6286559532163
2009-03-03,3306527,190498,85.78579872028638,740775,70.29492551938372,-658842,37.47868744344652
2009-03-10,3582979,207641,87.83685804941781,636829,56.7505550864684,-475145,51.83268451477696
2009-03-17,3929370,91359,73.92439926682077,727135,68.5176064046033,-514268,48.775631719022755
2009-03-24,2428148,-246448,33.507774475599774,775921,74.8745191856647,-461540,52.895772807756444
2009-03-31,2439953,-171946,42.4215014859801,703309,65.4130312412046,-422555,55.94204234849918
2009-04-07,2412590,-204750,38.49669542911564,666547,60.62286956249805,-381237,59.17061141055915
2009-04-14,2454936,-235614,34.80399898541777,678573,62.18988126882864,-333396,62.90888462073416
2009-04-21,2511152,-198080,39.29472177953894,644582,57.76078639855729,-311835,64.5936510069841
2009-04-28,2616834,-257975,32.12863658334649,784743,76.02404332280493,-342536,62.19468932504637
2009-05-05,2629788,-353717,20.673668241183424,820270,80.65328204647089,-322449,63.764278045449075
2009-05-12,2645720,-331322,23.353098543691644,855053,85.18557609114885,-400985,57.62751199051074
2009-05-19,2700135,-322595,24.397232870549836,859372,85.74835037683334,-394979,58.09681800209726
2009-05-26,2736726,-339120,22.42011361406632,875504,87.85038204542849,-376179,59.56584114858856
2009-06-02,2757744,-344491,21.777504989160242,953238,97.97927677184643,-420196,56.1263734975722
2009-06-09,2815342,-364013,19.441812273573483,945797,96.93109848727988,-429237,55.419914015262215
2009-06-16,3243222,-310346,25.86275382502285,870881,86.91280463016454,-424368,55.80037538229765
2009-06-23,2303107,-174181,42.15409685431652,767286,73.05935340308535,-472683,52.02506403534407
2009-06-30,2330177,-216680,37.06934095227156,779751,74.72626077839827,-394776,58.112680326498214
2009-07-07,2411917,-292665,27.97818169636234,734603,68.68875302223078,-304059,65.20126398502222
2009-07-14,2401740,-269047,30.803936770469914,743102,69.30176494036371,-299850,65.53015326287232
2009-07-21,2420483,-290605,28.22464860518873,783951,74.85915713315892,-348231,61.749684707000206
2009-07-28,2503699,-200374,39.02025814417596,842341,82.57677150973747,-550165,45.97065704404413
2009-08-04,2547131,-215754,37.18013141711294,859127,84.51284674049104,-517089,48.555200107519994
2009-08-11,2595818,-241182,34.13782046680354,887627,88.20610492799558,-586914,43.09910749029898
2009-08-18,2622199,-244012,33.799227577493504,904093,90.5680636177566,-616298,40.8030555681447
2009-08-25,2651182,-294784,27.724655783836553,905693,90.36643983169192,-616540,40.784145802110075
2009-09-01,2673739,-254669,32.524180078773696,931498,94.23175200002478,-617162,40.73554301502936
2009-09-08,2688470,-262188,31.624575861557386,902393,89.72453394699431,-554262,45.65051939344972
2009-09-15,3084056,-273975,30.214330495374558,929784,93.96632091454482,-581990,43.48386653143319
