date,XLB_rs63,XLC_rs63,XLE_rs63,XLF_rs63,XLI_rs63,XLK_rs63,XLP_rs63,XLRE_rs63,XLU_rs63,XLV_rs63,XLY_rs63,XLB_rs_line,XLC_rs_line,XLE_rs_line,XLF_rs_line,XLI_rs_line,XLK_rs_line,XLP_rs_line,XLRE_rs_line,XLU_rs_line,XLV_rs_line,XLY_rs_line
1998-12-22,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
1998-12-23,,,,,,,,,,,,0.9897439174531472,,0.9998484164482906,0.9939000126978823,0.9965482993813345,1.0028576082948837,1.003135070891001,,0.9753523437688721,1.0014675960656756,0.9836644350442442
1998-12-24,,,,,,,,,,,,1.0169057426583044,,0.9988922955460708,1.004796376825282,1.0140666279508357,1.0033621787528566,1.0057376626680257,,0.9976105433007914,1.0119438555309028,1.0060273654070793
1998-12-28,,,,,,,,,,,,1.010624442027473,,0.9961450018551905,0.9941426723453678,1.0219517890500187,1.0088099252810543,1.0024919151139433,,0.9949919666485252,0.999754017498594,0.9995213707122824
1998-12-29,,,,,,,,,,,,1.0130809883221235,,0.9903996509699099,0.9890593252654619,1.0203585945913989,0.9959263605619831,1.0086191325120049,,0.9957582886546111,1.0059888637635985,1.005385073133938
1998-12-30,,,,,,,,,,,,1.018359893082678,,0.9833128037968549,0.9931441361366464,1.0240348320172101,1.0001857931529543,1.010451374131543,,0.9956306045965944,1.0055938983048631,1.0051316563117056
1998-12-31,,,,,,,,,,,,1.030107108476153,,0.9819982366738776,0.9839606949516889,1.0325742422692694,0.996368558433574,1.0029493712712145,,0.9920418206660665,1.0165904435550481,1.003930836622939
1999-01-04,,,,,,,,,,,,1.019951680455562,,0.9835851861819404,0.9862103877087955,1.0204512263337344,1.0101252916197163,0.9971449376286792,,0.9783804203994058,1.0164656864439663,1.0002085618814474
1999-01-05,,,,,,,,,,,,1.0331637839105425,,0.967258570266294,0.9841654934570978,1.0297484244322326,1.0242447145776457,0.9933101010510392,,0.9790084502324614,1.020718888381487,1.0055646430451426
1999-01-06,,,,,,,,,,,,1.0266035469013546,,0.9756533165277503,0.99146497097454,1.0271171694632264,1.029684736758373,0.9816526427015267,,0.9658838527919043,1.0132426200494975,1.0097815277222675
