date,cpi_headline,cpi_headline_mom,cpi_headline_yoy,cpi_core,cpi_core_mom,cpi_core_yoy,ppi_headline,ppi_headline_mom,ppi_headline_yoy,ppi_core,ppi_core_mom,ppi_core_yoy,ppi_core_ex_food_energy_trade,ppi_core_ex_food_energy_trade_mom,ppi_core_ex_food_energy_trade_yoy,pce,pce_mom,pce_yoy,core_pce,core_pce_mom,core_pce_yoy
1959-01-01,,,,,,,,,,,,,,,,15.164,,,15.501,,
1959-02-01,,,,,,,,,,,,,,,,15.179,0.09891849116328011,,15.513,0.07741436036385885,
1959-03-01,,,,,,,,,,,,,,,,15.189,0.06588049278608565,,15.531,0.11603171533551837,
1959-04-01,,,,,,,,,,,,,,,,15.219,0.19751135690302402,,15.57,0.25111068186207675,
1959-05-01,,,,,,,,,,,,,,,,15.227,0.052565871607868075,,15.589,0.12202954399487265,
1959-06-01,,,,,,,,,,,,,,,,15.271,0.2889603992907386,,15.635,0.2950798640066754,
1959-07-01,,,,,,,,,,,,,,,,15.303,0.20954750834916158,,15.672,0.23664854493123944,
1959-08-01,,,,,,,,,,,,,,,,15.325,0.14376266091615797,,15.697,0.1595201633486365,
1959-09-01,,,,,,,,,,,,,,,,15.365,0.2610114192495905,,15.738,0.26119640695674295,
1959-10-01,,,,,,,,,,,,,,,,15.402,0.2408070289619202,,15.765,0.17155928326344494,
1959-11-01,,,,,,,,,,,,,,,,15.412,0.06492663290482703,,15.794,0.18395179194417022,
1959-12-01,,,,,,,,,,,,,,,,15.43,0.11679211004411716,,15.818,0.1519564391541106,
1960-01-01,,,,,,,,,,,,,,,,15.421,-0.058327932598833954,1.6948034819308955,15.822,0.02528764698443986,2.0708341397329244
1960-02-01,,,,,,,,,,,,,,,,15.437,0.1037546203229267,1.6997167138810054,15.852,0.18960940462646736,2.185263972152396
1960-03-01,,,,,,,,,,,,,,,,15.446,0.058301483448852665,1.6920139574692294,15.853,0.006308352258388439,2.0732728092202724
1960-04-01,,,,,,,,,,,,,,,,15.502,0.3625534118865792,1.859517708128,15.882,0.1829306755819049,2.0038535645471978
1960-05-01,,,,,,,,,,,,,,,,15.518,0.1032124887111241,1.9110790044000847,15.908,0.16370734164463663,2.046314709089736
1960-06-01,,,,,,,,,,,,,,,,15.525,0.04510890578681703,1.6632833475214381,15.917,0.05657530802112287,1.803645666773268
1960-07-01,,,,,,,,,,,,,,,,15.553,0.1803542673108005,1.6336666013200052,15.945,0.17591254633411157,1.7419601837672216
1960-08-01,,,,,,,,,,,,,,,,15.579,0.16717032083841676,1.6574225122349295,15.968,0.14424584509249438,1.7264445435433595
1960-09-01,,,,,,,,,,,,,,,,15.588,0.05777007510108234,1.451350471851609,15.981,0.08141282565130581,1.54403354937096
1960-10-01,,,,,,,,,,,,,,,,15.606,0.11547344110856006,1.324503311258285,15.99,0.05631687629059634,1.4272121788772685
1960-11-01,,,,,,,,,,,,,,,,15.659,0.3396129693707506,1.6026472878276632,16.033,0.26891807379612054,1.513232873243009
1960-12-01,,,,,,,,,,,,,,,,15.662,0.019158311514155812,1.503564484769937,16.028,-0.031185679535972177,1.3276014666835145
1961-01-01,,,,,,,,,,,,,,,,15.665,0.019154641808194484,1.582257959924771,16.032,0.02495632642876,1.3272658323852937
1961-02-01,,,,,,,,,,,,,,,,15.679,0.0893712097031596,1.5676621105137123,16.048,0.09980039920158834,1.2364370426444449
1961-03-01,,,,,,,,,,,,,,,,15.67,-0.05740162000127391,1.4502136475462946,16.053,0.031156530408793515,1.2615908660821296
1961-04-01,,,,,,,,,,,,,,,,15.661,-0.05743458838545212,1.0256741065668873,16.075,0.13704603500901413,1.2152121899005053
1961-05-01,,,,,,,,,,,,,,,,15.67,0.057467594661897436,0.9795076685139792,16.096,0.13063763608087697,1.1817953231078704
1961-06-01,,,,,,,,,,,,,,,,15.677,0.04467134652201832,0.9790660225442727,16.12,0.14910536779324524,1.2753659609222812
1961-07-01,,,,,,,,,,,,,,,,15.711,0.216878229253048,1.0158811804796386,16.145,0.15508684863523303,1.254311696456556
1961-08-01,,,,,,,,,,,,,,,,15.724,0.08274457386543421,0.9307400988510128,16.162,0.10529575720037432,1.214929859719427
1961-09-01,,,,,,,,,,,,,,,,15.742,0.11447468837446628,0.9879394405953423,16.194,0.1979952976116861,1.3328327388774097
1961-10-01,,,,,,,,,,,,,,,,15.741,-0.00635243298183763,0.865051903114189,16.199,0.030875632950499998,1.3070669168230298
1961-11-01,,,,,,,,,,,,,,,,15.742,0.006352836541534401,0.5300466185580222,16.202,0.018519661707516732,1.0540759683153489
1961-12-01,,,,,,,,,,,,,,,,15.746,0.025409731927328316,0.5363299706295566,16.216,0.08640908529811142,1.1729473421512537
