date,o,h,l,c,v
2024-01-02,37.07699563967595,37.52225309254099,36.900745465135095,37.503700256347656,6591500
2024-01-03,37.22540369602197,37.22540369602197,36.543602208134686,36.61317443847656,7424500
2024-01-04,36.53897291009986,36.78943088331155,36.39519285715283,36.52042007446289,7180300
2024-01-05,36.31633505259899,36.76159235838545,36.101125054718366,36.44620132446289,5770300
2024-01-08,36.41838132559369,36.9842304286601,36.35344817002131,36.94712829589844,4812700
2024-01-09,36.659554268046946,36.86363186409916,36.44620202607899,36.687381744384766,4134500
2024-01-10,36.743045806884766,36.919292414732304,36.61317951282962,36.743045806884766,4498600
2024-01-11,36.55751981926725,36.65955862943291,36.242128741751124,36.39982604980469,5151900
2024-01-12,36.78015084177505,36.8636368206042,36.4740344065378,36.6781120300293,4393500
2024-01-16,36.501862797062955,36.6873875922653,36.34231479946462,36.455482482910156,11100100
2024-01-17,36.01022073797011,36.43692523826234,35.41654429606949,35.787593841552734,9752000
2024-01-18,35.80614515332671,35.94528962537744,35.3312060961772,35.55569076538086,6142100
2024-01-19,35.676276276364895,36.03804763112108,35.37016341410607,35.89890670776367,7967800
2024-01-22,36.019503322271966,36.45548252208617,35.93137824827315,36.06588363647461,5850600
2024-01-23,36.214300580506674,36.31633938875184,35.741212203841066,35.87107849121094,4549800
2024-01-24,36.232852887167624,36.2514057191786,35.351612828896165,35.37944030761719,7349500
2024-01-25,35.88036161168737,36.010227916919256,35.68556215383954,35.86180877685547,6601700
2024-01-26,35.908179428229005,35.991665393202595,35.629894057847196,35.704105377197266,4398000
2024-01-29,35.69483352682373,36.00094996557563,35.61134754703604,35.963844299316406,5724200
2024-01-30,35.75976435618968,35.93601449020411,35.55569028217052,35.62989807128906,6931500
2024-01-31,35.83397697772206,36.06588207730086,35.28204170837539,35.37016677856445,11580700
2024-02-01,35.29595718293897,36.005586256353155,35.15217714648258,35.99167251586914,10887000
2024-02-02,35.583520206288625,35.76904499972173,34.92491055126267,35.537139892578125,12844000
2024-02-05,35.091877968840585,35.12898009185144,34.72082843000684,34.8321418762207,8668200
2024-02-06,34.90635741042982,35.411908841023696,34.76721293193349,35.36088943481445,7866800
2024-02-07,35.488899643617664,35.53713771470594,35.12898248644844,35.34233474731445,6679000
2024-02-08,35.22174880531919,35.617841001487996,35.20319597211677,35.537139892578125,4517700
2024-02-09,35.527859264984045,35.65772554988466,35.19855446010296,35.62989807128906,5515700
2024-02-12,35.71338847126584,35.866446699690314,35.44716255422889,35.51858901977539,5376400
2024-02-13,34.804318105798345,34.878525898313455,34.39152730764577,34.8692512512207,21419000
2024-02-14,34.98984087574817,35.30523193756635,34.80431609728028,35.10115432739258,14186400
2024-02-15,35.40726809458687,35.98796147967223,35.40726809458687,35.945289611816406,8637600
2024-02-16,35.46292057323433,35.76625207366945,35.31450147963123,35.57423400878906,7683100
2024-02-20,35.44437768286971,35.70411382344828,35.22175074933529,35.51858901977539,6929300
2024-02-21,35.667006849806164,35.82284640529577,35.509309533947985,35.7783203125,5653100
2024-02-22,35.88963132349105,36.06588146085669,35.773678775683535,35.87107849121094,6144400
2024-02-23,35.93601041038746,36.10483656159141,35.8061406016401,35.917457580566406,5263400
2024-02-26,35.84324792169859,36.01485895155024,35.45364909318,35.50930404663086,6427800
2024-02-27,35.72266114742012,35.86180562714272,35.425822893363595,35.537139892578125,9466100
2024-02-28,35.37016851697528,36.140091645350594,35.314510016448054,35.99167251586914,7497600
2024-02-29,36.22357733975763,36.47403528225844,36.130816711538586,36.27923583984375,12860800
2024-03-01,36.18647080421715,36.715217695862485,35.815424761658406,36.6781120300293,9655500
2024-03-04,36.59463078464469,37.12244709511381,36.34417281576098,37.09554672241211,8697600
2024-03-05,36.94712103487451,37.192939866744986,36.469393571917855,36.62245178222656,6913800
2024-03-06,36.86363612167264,36.95639674590583,36.631731022498684,36.82653045654297,5483600
2024-03-07,37.03060453757418,37.10945496062248,36.622452836920765,36.82653045654297,5077000
2024-03-08,37.09554757721672,37.35064110686409,37.03988906998505,37.262516021728516,7551200
2024-03-11,37.13264699948945,37.41093597674153,36.900741877506945,37.07699203491211,4594600
2024-03-12,36.984222412109375,37.12336688022785,36.65955670462069,36.984222412109375,5669000
2024-03-13,36.91928745935445,37.11872596662472,36.631727429283806,36.752315521240234,6245300
2024-03-14,36.576063780312865,36.67810256572885,35.88962329388996,36.232845306396484,10442800
2024-03-15,35.88035814545763,36.29593028205323,35.88035814545763,36.21430206298828,9639600
2024-03-18,36.27407350611094,36.43284091218717,36.15266083149305,36.20869827270508,4971000
2024-03-19,36.227377419775756,36.3394487395168,35.9658729234693,36.20869827270508,5255100
